ID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
18,5.1059E+13,Burke Centre Library,5935 Freds Oak Road,Burke,VA,22015,703-249-1520,https://www.fairfaxcounty.gov/library/branches/burke-centre-location,-77.31718281,38.78735839,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
19,5.1059E+13,Pohick Regional Library,6450 Sydenstricker Road,Burke,VA,22015,703-644-7333,https://www.fairfaxcounty.gov/library/branches/pohick-regional-location,-77.26796216,38.77494959,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
20,5.1059E+13,Reston Regional Library,11925 Bowman Towne Drive,Reston,VA,20190,703-689-2700,https://www.fairfaxcounty.gov/library/branches/reston-regional-location,-77.35865439,38.96165421,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
21,5.1153E+13,Dumfries Neighborhood Library,18115 Triangle Shopping Plaza,Dumfries,VA,22026,703-792-5678,https://www.pwcva.gov/department/library/branch-locations-hours,-77.33273029,38.55930119,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
22,5.1153E+13,Montclair Library,5049 Waterway Drive,Dumfries,VA,22025,703-792-8740,https://www.pwcva.gov/department/library/branch-locations-hours,-77.35724531,38.6102961,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
23,5.1107E+13,Cascades Library,21030 Whitfield Place,Potomac Falls,VA,20165,703-444-3228,https://library.loudoun.gov/Cascades,-77.39476842,39.03321963,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
24,5.16E+13,City of Fairfax Regional Library,10360 North Street,Fairfax,VA,22030,703-293-6227,https://www.fairfaxcounty.gov/library/branches/city-of-fairfax-regional,-77.30362953,38.84707249,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51600,Fairfax City
25,5.1059E+13,Thomas Jefferson Library,7415 Arlington Boulevard,Falls Church,VA,22042,703-573-1060,https://www.fairfaxcounty.gov/library/branches/thomas-jefferson-location,-77.20171316,38.86540259,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
26,5.1059E+13,Woodrow Wilson Library,6101 Knollwood Drive,Falls Church,VA,22041,703-820-8774,https://www.fairfaxcounty.gov/library/branches/woodrow-wilson-location,-77.14299307,38.85127569,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
27,5.1059E+13,Great Falls Library,9830 Georgetown Pike,Great Falls,VA,22066,703-757-8560,https://www.fairfaxcounty.gov/library/branches/great-falls-location,-77.28699377,38.99833268,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
28,5.1059E+13,Tysons-Pimmit Regional Library,7584 Leesburg Pike,Falls Church,VA,22043,703-790-8088,https://www.fairfaxcounty.gov/library/branches/tysons-pimmit-regional-location,-77.20643773,38.90691645,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
29,5.161E+13,Mary Riley Styles Public Library,120 North Virginia Avenue,Falls Church,VA,22046,703-248-5030,https://www.mrspl.org/,-77.17459534,38.88583186,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51610,Falls Church City
30,5.1059E+13,Oakton Library,10304 Lynnhaven Place,Oakton,VA,22124,703-242-4020,https://www.fairfaxcounty.gov/library/branches/oakton-location,-77.30231608,38.88394854,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
31,5.1059E+13,Lorton Library,9520 Richmond Highway,Lorton,VA,22079,703-339-7385,https://www.fairfaxcounty.gov/library/branches/lorton-location,-77.21412939,38.69808433,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
32,5.1059E+13,Richard Byrd Library,7250 Commerce Street,Springfield,VA,22150,703-451-8055 ,https://www.fairfaxcounty.gov/library/branches/richard-byrd-location,-77.19203871,38.77961807,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
33,5.1059E+13,Dolley Madison Library,1244 Oak Ridge Avenue,McLean,VA,22101,703-356-0770,https://www.fairfaxcounty.gov/library/branches/dolley-madison-location,-77.18463856,38.93991156,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
34,5.1059E+13,Patrick Henry Library,"101 Maple Avenue, East",Vienna,VA,22180,703-938-0405,https://www.fairfaxcounty.gov/library/branches/patrick-henry-location,-77.26466163,38.90158246,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
35,5.1061E+13,Warrenton Library,11 Winchester Street,Warrenton,VA,20186,(540) 422-8500,https://fauquierlibrary.org/about-us-2/library-locations/,-77.79532798,38.71441398,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51061,Fauquier County
36,5.1153E+13,Potomac Library,2201 Opitz Boulevard,Woodbridge,VA,22191,703-792-8330,https://www.pwcva.gov/department/library/branch-locations-hours,-77.28063563,38.63270647,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
37,5.1013E+13,Arlington Central Library,1015 North Quincy Street,Arlington,VA,22201,703-228-5990,https://library.arlingtonva.us/locations/central-library/,-77.10728291,38.88375917,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
38,5.1153E+13,Lake Ridge Neighborhood Library,2239 Old Bridge Road,Woodbridge,VA,22192,703-792-5675,https://www.pwcva.gov/department/library/branch-locations-hours,-77.28141936,38.67612217,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
39,5.1013E+13,Glencarlyn Library,300 South Kensington Street,Arlington,VA,22204,703-228-6548,https://library.arlingtonva.us/locations/glencarlyn-branch-library/,-77.12591222,38.86360119,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
40,5.1013E+13,Courthouse Library,2100 Clarendon Boulevard,Arlington,VA,22201,703-228-3352,https://library.arlingtonva.us/locations/courthouse-library/,-77.08534304,38.89048739,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
41,5.1013E+13,Columbia Pike Library,816 South Walter Reed Drive,Arlington,VA,22204,703-228-5710,https://library.arlingtonva.us/locations/columbia-pike-branch-library/,-77.08841684,38.86453102,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
42,5.151E+13,"Charles E. Beatley, Jr. Central Library",5005 Duke Street,Alexandria,VA,22304,703-746-1702,https://alexlibraryva.org/beatley,-77.11750097,38.8123771,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
43,5.151E+13,Ellen Coolidge Burke Branch Library,4701 Seminary Road,Alexandria,VA,22304,703-746-1704,https://alexlibraryva.org/burke,-77.1099605,38.82785432,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
44,5.1013E+13,Shirlington Library,4200 Campbell Avenue,Arlington,VA,22206,703-228-6545,https://library.arlingtonva.us/locations/shirlington-branch-library/,-77.09013208,38.84100429,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
45,5.151E+13,"James M. Duncan, Jr. Branch Library",2501 Commonwealth Avenue,Alexandria,VA,22301,703-746-1705,https://alexlibraryva.org/duncan,-77.06071912,38.82782241,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
46,5.1059E+13,Sherwood Regional Library,2501 Sherwood Hall Lane,Alexandria,VA,22306,703-765-3645 ,https://www.fairfaxcounty.gov/library/branches/sherwood-regional-location,-77.07487413,38.74348043,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
47,5.1153E+13,Prince William Administrative Support Center,13083 Chinn Park Drive,Prince William,VA,22192,703-792-6100,https://www.pwcva.gov/department/library/branch-locations-hours,-77.3334007,38.67022182,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
48,5.1059E+13,John Marshall Library,6209 Rose Hill Drive,Alexandria,VA,22310,703-971-0010,https://www.fairfaxcounty.gov/library/branches/john-marshall-location,-77.11878639,38.78277096,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
49,5.1153E+13,Chinn Park Library,13065 Chinn Park Drive,Prince William,VA,22192,703-792-4800,https://www.pwcva.gov/department/library/branch-locations-hours,-77.33312893,38.67034818,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
50,5.1179E+13,William J. Howell Branch Library,806 Lyons Boulevard,Fredericksburg,VA,22406,(540) 372-1144,https://www.librarypoint.org/locations/ENG/,-77.49771194,38.36280092,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51179,Stafford County
51,5.151E+13,Kate Waller Barrett Branch Library,717 Queen Street,Alexandria,VA,22314,703-746-1703,https://alexlibraryva.org/barrett,-77.04718685,38.80760849,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
52,5.1177E+13,Salem Church Branch Library,2607 Salem Church Road,Fredericksburg,VA,22407,(540) 372-1144,https://www.librarypoint.org/locations/SALEM/,-77.53334132,38.27667195,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51177,Spotsylvania County
53,5.1153E+13,Dale City Library,4249 Dale Boulevard,Dale City,VA,22193,703-792-5670,https://www.pwcva.gov/department/library/branch-locations-hours,-77.33782714,38.6459973,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
54,5.1059E+13,Kingstowne Library,6500 Landsdowne Centre,Alexandria,VA,22315,703-339-4610,https://www.fairfaxcounty.gov/library/branches/kingstowne-location,-77.16497282,38.73985184,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
55,5.1193E+13,Abraham and William Cooper Memorial Branch Library,20 Washington Avenue,Colonial Beach,VA,22443,(804) 472-3820,https://www.librarypoint.org/locations/COOPER/,-76.96350752,38.25047591,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51193,Westmoreland County
56,5.1133E+13,Northumberland Public Library,7204 Northumberland Highway,Heathsville,VA,22473,804-580-5051,https://nplibraryva.org/,-76.46933802,37.91552153,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51133,Northumberland County
57,5.1137E+13,Wilderness Branch Library,6421 Flat Run Road,Locust Grove,VA,22508,(540) 661-5434,https://ocplva.org/branches/,-77.77907133,38.313423,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51137,Orange County
58,5.1059E+13,Martha Washington Library,6614 Fort Hunt Road,Alexandria,VA,22307,703-768-6700,https://www.fairfaxcounty.gov/library/branches/martha-washington-location,-77.06306163,38.77305405,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
59,5.1033E+13,Bowling Green Branch Library,17202 Richmond Turnpike,Milford,VA,22514,804-633-5455,https://carolinelibrary.org/about-us/directory/bowling-green-branch/,-77.34083173,38.02432199,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51033,Caroline County
60,5.1099E+13,L. E. Smoot Memorial Library,9533 Kings Highway,King George,VA,22485,540-775-2147,https://www.kinggeorgecountyva.gov/309/L-E-Smoot-Memorial-Library,-77.17785719,38.26644318,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51099,King George County
61,5.1103E+13,Lancaster Community Library,16 Town Centre Drive,Kilmarnock,VA,22482,804-435-1729,https://www.kilmarnockva.com/government/community-services/lancaster-community-library/,-76.37966222,37.71374675,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51103,Lancaster County
62,5.1033E+13,Port Royal Branch Library,419 King Street,Port Royal,VA,22535,804-742-5254,https://carolinelibrary.org/about-us/directory/port-royal-branch/,-77.191947,38.16904287,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51033,Caroline County
63,5.1193E+13,Montross Branch Library,56 Polk Street,Montross,VA,22520,(804) 472-3820,https://www.librarypoint.org/locations/MONTROS/,-76.82925155,38.09646489,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51193,Westmoreland County
64,5.1179E+13,John Musante Porter Branch Library,2001 Parkway Boulevard,Stafford,VA,22554,(540) 372-1144,https://www.librarypoint.org/locations/PORTER/,-77.44694662,38.46437797,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51179,Stafford County
65,5.1193E+13,Blake T. Newton Memorial Branch Library,22 Coles Point Road,Hague,VA,22469, (804) 472-3820,https://www.librarypoint.org/locations/NEWTON/,-76.64490187,38.07000202,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51193,Westmoreland County
66,5.1177E+13,C. Melvin Snow Memorial Library,8740 Courthouse Road,Spotsylvania,VA,22553,(540) 372-1144,https://www.librarypoint.org/locations/SNOW/,-77.58732853,38.19590131,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51177,Spotsylvania County
67,5.1171E+13,Fort Valley Community Library,6190 Woodstock Tower Road,Fort Valley,VA,22652,(540) 933-6714,https://countylib.org/fort-valley.html,-78.41856258,38.8476282,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
68,5.1069E+13,Bowman Library,871 Tasker Road,Stephens City,VA,22655,(540) 869-9000,https://www.handleyregional.org/locations/bowman,-78.19240066,39.10143685,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51069,Frederick County
69,5.1187E+13,Samuels Public Library,330 East Criser Road,Front Royal,VA,22630,540-635-3153,https://samuelslibrary.net/index.php/about/hours-location,-78.18828446,38.90651418,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51187,Warren County
70,5.1159E+13,Richmond County Public Library,52 Campus Drive,Warsaw,VA,22572,(804) 333-6710,https://rcplva.org/,-76.76232955,37.95706811,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51159,Richmond County
71,5.1171E+13,Strasburg Community Library,195 West King Street,Strasburg,VA,22657,(540) 465-8464,https://countylib.org/strasburg.html,-78.3635278,38.98958708,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
72,5.1113E+13,"Madison County Library, Inc.",402 North Main Street,Madison,VA,22727,540-948-4720,https://madisoncountyvalibrary.org/,-78.25333422,38.38242436,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51113,Madison County
73,5.1157E+13,Rappahannock County Library,4 Library Road,Washington,VA,22747,(540) 675-3780,https://rappahannocklibrary.org/,-78.14585419,38.71495085,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51157,Rappahannock County
74,5.12075E+13,Culpeper County Library,271 Southgate Shopping Center,Culpeper,VA,22701,540-825-8691,https://youseemore.com/culpeper/,-78.00142076,38.46240943,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,5120752,Culpeper Town
75,5.1171E+13,Basye-Orkney Springs Community Library,1382 Resort Drive,Basye,VA,22810,(540) 856-8084,https://countylib.org/basye-orkney-springs.html,-78.76865432,38.81787955,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
76,5.1171E+13,Shenandoah County Library,514 Stoney Creek Boulevard,Edinburg,VA,22824,(540) 984-8200,https://countylib.org/county-library.html,-78.57002359,38.8274716,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
77,5.1165E+13,Village Library,175 North Main Street,Broadway,VA,22815,540-434-4475 option 700,https://mrlib.org/about-us/locations-hours.html,-78.79782251,38.61508862,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51165,Rockingham County
78,5.1165E+13,North River Library,118 Mt. Crawford Avenue,Bridgewater,VA,22812,540-434-4475 option 400,https://mrlib.org/about-us/locations-hours.html,-78.96817259,38.38623434,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51165,Rockingham County
79,5.1165E+13,Elkton Community Library,106 North Terrace Avenue,Elkton,VA,22827,540-434-4475 option 200,https://mrlib.org/about-us/locations-hours.html,-78.62389991,38.40834845,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51165,Rockingham County
80,5.1139E+13,Page Public Library,100 Zerkel Street,Luray,VA,22835,540-434-4475 option 500,https://mrlib.org/about-us/locations-hours.html,-78.45948131,38.66388381,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51139,Page County
81,5.166E+13,Massanutten Regional Library,174 South Main Street,Harrisonburg,VA,22801,540-434-4475 option 100,https://mrlib.org/about-us/locations-hours.html,-78.8688331,38.44749249,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51660,Harrisonburg City
82,5.1171E+13,New Market Community Library,160 East Lee Street,New Market,VA,22844,(540) 740-8650,https://countylib.org/new-market.html,-78.67052567,38.64607434,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
83,5.154E+13,Gordon Avenue Library,1500 Gordon Avenue,Charlottesville,VA,22903,434-296-5544,https://jmrl.org/gordon,-78.49834803,38.03955862,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51540,Charlottesville City
84,5.1003E+13,Crozet Library,2020 Library Avenue,Crozet,VA,22932,434-823-4050,https://jmrl.org/crozet,-78.70136951,38.06810771,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51003,Albemarle County
85,5.154E+13,Charlottesville Central Library,201 East Market Street,Charlottesville,VA,22902,434-979-7151,https://jmrl.org/central,-78.48005153,38.0314086,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51540,Charlottesville City
86,5.1015E+13,Fishersville Main Library,1759 Jefferson Highway,Fishersville,VA,22939,540-949-6354,https://www.augustacountylibrary.org/fishersville-library/,-78.97027437,38.09894565,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51015,Augusta County
87,5.1125E+13,Nelson Memorial Library,8521 Thomas Nelson Highway,Lovingston,VA,22949,434-263-5904,https://jmrl.org/nelson,-78.87894632,37.75123029,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51125,Nelson County
88,5.1137E+13,Gordonsville Branch Library,319 North Main Street,Gordonsville,VA,22942,(540) 832-0712,https://ocplva.org/branches/,-78.18846532,38.13880037,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51137,Orange County
89,5.1065E+13,Fluvanna County Public Library,214 Commons Boulevard,Palmyra,VA,22963,(434) 589-1400,http://www2.youseemore.com/fluvanna/default.asp,-78.27699629,37.86609927,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51065,Fluvanna County
90,5.1043E+13,Clarke County Library,"101 Chalmers Court, Suite C",Berryville,VA,22611,(540) 955-5144,https://www.handleyregional.org/locations/clarke,-77.98133047,39.14866779,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51043,Clarke County
91,5.1007E+13,James L. Hamner Public Library,16351 Dunn Street,Amelia Court House,VA,23002,804-561-4559,http://www.hamnerlibrary.org,-77.97995447,37.33884997,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51007,Amelia County
92,5.1119E+13,Deltaville Branch Library,35 Lovers Lane,Deltaville,VA,23043,804-776-7362,https://www.yourmiddlesexlibrary.org/,-76.33684105,37.55438908,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51119,Middlesex County
93,5.182E+13,Waynesboro Public Library,600 South Wayne Avenue,Waynesboro,VA,22980, 540-942-6746,https://www.waynesboro.va.us/1199/Library,-78.89352393,38.06182099,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51820,Waynesboro City
94,5.1079E+13,Greene County Library,"222 Main Street, Suite 101",Stanardsville,VA,22973,434-985-5227,https://jmrl.org/greene,-78.43810362,38.29707177,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51079,Greene County
95,5.1087E+13,Glen Allen Branch Library,10501 Staples Mill Road,Glen Allen,VA,23060,(804) 501-1950,https://henricolibrary.org/glen-allen,-77.52758962,37.66366597,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51087,Henrico County
96,5.1073E+13,Gloucester Main Library,6920 Main Street,Gloucester,VA,23061,804-693-2998 ,https://gloucesterva.gov/library,-76.51972036,37.40913292,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51073,Gloucester County
97,5.1085E+13,"Richard R. Gillis, Jr./Ashland Branch Library",201 South Railroad Avenue,Ashland,VA,23005,804-798-4072,https://www.pamunkeylibrary.org/client/en_US/default/?rm=ASHLAND0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue&dt=list,-77.48121535,37.75802859,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51085,Hanover County
98,5.1085E+13,Pamunkey Regional Library,7527 Library Drive,Hanover,VA,23069,804-365-6210,https://www.pamunkeylibrary.org/client/en_US/default/?rm=HANOVER0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue&dt=list,-77.36646268,37.76253265,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51085,Hanover County
99,5.1049E+13,Cumberland County Public Library,1539 Anderson Highway,Cumberland,VA,23040,804-492-5807,https://www.cumberlandcountypubliclibrary.org/,-78.24771972,37.49322669,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51049,Cumberland County
100,5.1073E+13,Point Branch Library,2354 York Crossing Drive,Hayes,VA,23072,804-642-9790 ,https://gloucesterva.gov/library,-76.49660414,37.27656839,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51073,Gloucester County
101,5.1033E+13,Dawn Branch Library,31046 Richmond Turnpike,Hanover,VA,23069,804-632-8341,https://carolinelibrary.org/about-us/directory/dawn-branch/,-77.36974072,37.83874358,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51033,Caroline County
102,5.1087E+13,Twin Hickory Branch Library,5001 Twin Hickory Road,Glen Allen,VA,23059,(804) 501-1920,https://henricolibrary.org/twin-hickory,-77.59514024,37.67611075,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51087,Henrico County
103,5.1115E+13,Mathews Memorial Library,251 Main Street,Mathews,VA,23109,804-725-5747,https://www.mathewslibrary.org/,-76.32070932,37.43339838,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51115,Mathews County
104,5.1085E+13,Mechanicsville Branch Library,7461 Sherwood Crossing Place,Mechanicsville,VA,23111,804-746-9615,https://www.pamunkeylibrary.org/client/en_US/default/?rm=MECHANICSVILLE0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue&dt=list,-77.34421752,37.61367114,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51085,Hanover County
105,5.1041E+13,Clover Hill Library,6701 Deer Run Drive,Midlothian,VA,23112,804-751-2275,https://library.chesterfield.gov/154/Clover-Hill-Library,-77.65477043,37.40775,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51041,Chesterfield County
